,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,1938,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
56,"Lot to Learn","Luke Christopher",1914,https://open.spotify.com/track/2HzfRSfCogBSsgW2CckVA2
57,"All Time Low","Jon Bellion",1892,https://open.spotify.com/track/1CnPYaKxTVb4LWOtiGOm0m
58,"Solo Dance","Martin Jensen",1871,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
59,"Sunset Lover","Petit Biscuit",1867,https://open.spotify.com/track/0hNduWmlWmEmuwEFcYvRu1
60,"Perfect Strangers","Jonas Blue",1866,https://open.spotify.com/track/5bZtRlMBU76vHuDOb1GM5u
61,"Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)",Vice,1811,https://open.spotify.com/track/40UroIGvsMPLPBYwH8rMNA
62,"Cake By The Ocean",DNCE,1805,https://open.spotify.com/track/2aFiaMXmWsM3Vj72F9ksBl
63,"The Ocean (feat. Shy Martin)","Mike Perry",1750,https://open.spotify.com/track/2CPqh63wRVscbceKcPxwvv
64,"Dynamite (feat. Pretty Sister)",Nause,1747,https://open.spotify.com/track/2Ae5awwKvQpTBKQHr1TYCg
65,"Lighthouse - Andrelli Remix","Hearts & Colors",1740,https://open.spotify.com/track/04CttTezSnv71USiiG9mIo
66,"Hymn for the Weekend - Seeb Remix",Coldplay,1718,https://open.spotify.com/track/1OAiWI2oPmglaOiv9fdioU
67,"Final Song",MØ,1694,https://open.spotify.com/track/4qqArAiTPueDxIp7cf87h7
68,"Setting Fires","The Chainsmokers",1638,https://open.spotify.com/track/0B8B8cVRFIG1yznoQe7c9s
69,"Fast Car","Jonas Blue",1636,https://open.spotify.com/track/6OZh916QF8XNunWaP97WEZ
70,Work,Rihanna,1621,https://open.spotify.com/track/14WWzenpaEgQZlqPq2nk4v
71,"Me, Myself & I",G-Eazy,1617,https://open.spotify.com/track/40YcuQysJ0KlGQTeGUosTC
72,Panda,Desiigner,1614,https://open.spotify.com/track/5OOkp4U9P9oL23maHFHL1h
73,"7 Years","Lukas Graham",1582,https://open.spotify.com/track/7129iqBafaphfc3WPCGC0L
74,"Trust Nobody (feat. Selena Gomez & Tory Lanez)","Cashmere Cat",1559,https://open.spotify.com/track/2wDjpPW3HZdA9quPPmZAMu
75,"Make Me (Cry)","Noah Cyrus",1537,https://open.spotify.com/track/2BrzlUj1u1CtvaJDGIKpsP
76,Sex,"Cheat Codes",1510,https://open.spotify.com/track/5DA77EqppDmCTWGovd4oTP
77,"Love Yourself","Justin Bieber",1489,https://open.spotify.com/track/3hB5DgAiMAQ4DzYbsMq1IT
78,"This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners",Kungs,1488,https://open.spotify.com/track/0tICYNayWWhH9GPeFrfjfD
79,"Into You","Ariana Grande",1467,https://open.spotify.com/track/7yHEDfrJNd0zWOfXwydNH0
80,"Ain't My Fault","Zara Larsson",1448,https://open.spotify.com/track/0ADG9OgdVTL7fgREP75BrZ
81,"Party Monster","The Weeknd",1440,https://open.spotify.com/track/4F7A0DXBrmUAkp32uenhZt
82,"Taped up Heart (feat. Clara Mae)",KREAM,1428,https://open.spotify.com/track/26hcyzSE154xMZCbFdtInA
83,"Broccoli (feat. Lil Yachty)",DRAM,1425,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol
84,"Sugar (feat. Francesco Yates)","Robin Schulz",1423,https://open.spotify.com/track/5tf1VVWniHgryyumXyJM7w
85,"Cool Girl","Tove Lo",1422,https://open.spotify.com/track/5dKyZWlgjWw1oJgLa4GCZD
86,"Some Kind Of Drug",G-Eazy,1411,https://open.spotify.com/track/1Bqxj0aH5KewYHKUg1IdrF
87,Capsize,FRENSHIP,1409,https://open.spotify.com/track/2XMTqoHHSH0lvuXrvIEdco
88,"Wake Up Where You Are","State of Sound",1404,https://open.spotify.com/track/2s76aKBWKShlwPC4xTtEEE
89,"DUELE EL CORAZON","Enrique Iglesias",1398,https://open.spotify.com/track/6YZdkObH88npeKrrkb8Ggf
90,"Lean On (feat. MØ & DJ Snake)","Major Lazer",1394,https://open.spotify.com/track/4WjH9Bzt3kx7z8kl0awxh4
91,Light,"San Holo",1368,https://open.spotify.com/track/7zTx8ePYAmPFQuxP3xlXZn
92,"Élnünk Kellett Volna","Halott Pénz",1360,https://open.spotify.com/track/361EamWYN312TFEpgNBDTE
93,"Lush Life","Zara Larsson",1357,https://open.spotify.com/track/1rIKgCH4H52lrvDcz50hS8
94,Sofia,"Alvaro Soler",1352,https://open.spotify.com/track/1VoHrSS3QQ6TbpabLrFiYb
95,"Not Going Home",DVBBS,1337,https://open.spotify.com/track/042x9bsUBWW2fJgJ6fUh61
96,Sexual,NEIKED,1325,https://open.spotify.com/track/3AsAuGTaDQzavZZThyYlop
97,"Oh Lord","MiC LOWRY",1294,https://open.spotify.com/track/1sTUEdVO85YU8Ymk2jeAls
98,"Don't Be So Shy - Filatov & Karas Remix",Imany,1286,https://open.spotify.com/track/00vk0sEfb6mr2ehwSw0Uhn
99,"Water Under the Bridge",Adele,1236,https://open.spotify.com/track/4vb4mFvYsr2h6enhjJsq9Y
100,"Would I Lie to You - Radio Edit","David Guetta",1215,https://open.spotify.com/track/4PdJSsESm34djLfBde9Pr2
101,"Million Reasons","Lady Gaga",1210,https://open.spotify.com/track/50PWlIBU7PlGGwzgN8TiFJ
102,"Let Me Hold You (Turn Me On)","Dante Klein",1174,https://open.spotify.com/track/0lmdsH1MIoLsMymnNpd6HU
103,"Never Be Like You",Flume,1169,https://open.spotify.com/track/12REd1n8PeiHHWOh066tpr
104,"Another Day Of Sun - From ""La La Land"" Soundtrack","La La Land Cast",1164,https://open.spotify.com/track/0zCfmceT1YvtZXGbR6Roht
105,"Kill Em With Kindness","Selena Gomez",1158,https://open.spotify.com/track/7KxhSJOYiqCDclXDBNlFSZ
106,"Send My Love (To Your New Lover)",Adele,1155,https://open.spotify.com/track/4BHzQ9C00ceJxfG16AlNWb
107,Sorry,"Justin Bieber",1143,https://open.spotify.com/track/69bp2EbF7Q2rqc5N3ylezZ
108,"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling",1134,https://open.spotify.com/track/0LtVx5vsq9nfpGsWgjUin6
109,"Purple Lamborghini (with Rick Ross)",Skrillex,1117,https://open.spotify.com/track/6JyuJFedEvPmdWQW0PkbGJ
110,Alarm,Anne-Marie,1111,https://open.spotify.com/track/0OwX5aROoW1Iip8FV51Efg
111,"Wherever I Go",OneRepublic,1110,https://open.spotify.com/track/46jLy47W8rkf8rEX04gMKB
112,"Somebody Else",VÉRITÉ,1098,https://open.spotify.com/track/34i4yxPrHWquuR4kjiivFO
113,"Darabokra Törted A Szívem","Halott Pénz",1084,https://open.spotify.com/track/6OrEcJ6PZCeaRaDeJYBz6q
114,"No Money",Galantis,1081,https://open.spotify.com/track/0gb1J5UrTpzaU1s3nupgCd
115,"September Song","JP Cooper",1066,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
116,Safari,"J Balvin",1059,https://open.spotify.com/track/6rQSrBHf7HlZjtcMZ4S4bO
117,"i hate u, i love u (feat. olivia o'brien)",gnash,1057,https://open.spotify.com/track/7vRriwrloYVaoAe3a9wJHe
118,Stitches,"Shawn Mendes",1054,https://open.spotify.com/track/1WP1r7fuvRqZRnUaTi2I1Q
119,Photograph,"Ed Sheeran",1053,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
120,"Please Don't Go","Joel Adams",1044,https://open.spotify.com/track/3cNjgVBKTJ1SvKhunrCdVy
121,"It's Gotta Be You",Isaiah,1042,https://open.spotify.com/track/6cAKeFFYW2aClZSUyvqAEW
122,"Thinking out Loud","Ed Sheeran",1026,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
123,"Cake - Challenge Version","Flo Rida",1009,https://open.spotify.com/track/6t2ubAB4iSYOuIpRAOGd4t
124,"Cheap Thrills",Sia,1007,https://open.spotify.com/track/378iszndTZAR4dH8kwsLC6
125,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,1005,https://open.spotify.com/track/5Z01UMMf7V1o0MzF86s6WJ
126,"Raging (feat. Kodaline)",Kygo,1002,https://open.spotify.com/track/2Vhd5uZB4brKHmM0MNxkZo
