word,freq
love,134
baby,32
heart,31
hold,28
kiss,27
time,26
belong,23
forever,22
believe,22
feel,21
miss,21
dream,20
yeah,20
thing,20
break,19
life,18
live,18
close,17
day,17
lost,16
loves,16
man,15
eyes,14
faith,14
things,14
together,13
hear,13
feeling,12
hope,12
best,12
