word,freq
night,73
love,54
feel,45
watching,34
monster,36
baby,29
good,28
hey,28
bad,26
kiss,23
dance,22
stop,18
party,16
alone,16
oohyou,16
hell,16
fire,15
close,14
bout,14
heart,14
leave,13
hit,12
