"name","type","value","date"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","5766438","2018-11-01"
"MIA (feat. Drake)","Bad Bunny","4122032","2018-11-01"
"Happier","Marshmello","3546770","2018-11-01"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3436862","2018-11-01"
"Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","3286601","2018-11-01"
"Shallow","Lady Gaga","3238783","2018-11-01"
"ZEZE (feat. Travis Scott & Offset)","Kodak Black","3034135","2018-11-01"
"Without Me","Halsey","2987187","2018-11-01"
"SICKO MODE","Travis Scott","2818819","2018-11-01"
"Better","Khalid","2510983","2018-11-01"
"Mo Bamba","Sheck Wes","2401566","2018-11-01"
"Promises (with Sam Smith)","Calvin Harris","2220766","2018-11-01"
"Eastside (with Halsey & Khalid)","benny blanco","2200415","2018-11-01"
"Girls Like You (feat. Cardi B)","Maroon 5","2194245","2018-11-01"
"when the party's over","Billie Eilish","2175327","2018-11-01"
"In My Mind","Dynoro","2128272","2018-11-01"
"Lucid Dreams","Juice WRLD","2056067","2018-11-01"
"Be Alright","Dean Lewis","2021732","2018-11-01"
"Kiss and Make Up","Dua Lipa","1983913","2018-11-01"
"Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1978075","2018-11-01"
"I Love It (& Lil Pump)","Kanye West","1945829","2018-11-01"
"Falling Down - Bonus Track","Lil Peep","1929647","2018-11-01"
"SAD!","XXXTENTACION","1895700","2018-11-01"
"Woman Like Me (feat. Nicki Minaj)","Little Mix","1867426","2018-11-01"
"Better Now","Post Malone","1820137","2018-11-01"
"In My Feelings","Drake","1818113","2018-11-01"
"Moonlight","XXXTENTACION","1752299","2018-11-01"
"Vaina Loca","Ozuna","1729033","2018-11-01"
"Sweet but Psycho","Ava Max","1711909","2018-11-01"
"Let You Love Me","Rita Ora","1710482","2018-11-01"
"BEBE","6ix9ine","1666976","2018-11-01"
"I Like It","Cardi B","1614296","2018-11-01"
"Taste (feat. Offset)","Tyga","1547824","2018-11-01"
"No Stylist","French Montana","1514302","2018-11-01"
"Natural","Imagine Dragons","1467767","2018-11-01"
"Te Boté - Remix","Nio Garcia","1465049","2018-11-01"
"Youngblood","5 Seconds of Summer","1450408","2018-11-01"
"Electricity (with Dua Lipa)","Silk City","1446227","2018-11-01"
"rockstar (feat. 21 Savage)","Post Malone","1440953","2018-11-01"
"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","1421282","2018-11-01"
"Quiere Beber","Anuel AA","1365839","2018-11-01"
"Beautiful (feat. Camila Cabello)","Bazzi","1356403","2018-11-01"
"Suncity (feat. Empress Of)","Khalid","1354710","2018-11-01"
"Fine China","Future","1349192","2018-11-01"
"High Hopes","Panic! At The Disco","1337857","2018-11-01"
"Always Remember Us This Way","Lady Gaga","1334190","2018-11-01"
"Nonstop","Drake","1325453","2018-11-01"
"Ruin My Life","Zara Larsson","1312506","2018-11-01"
"Cuando Te Besé","Becky G","1308417","2018-11-01"
"Jocelyn Flores","XXXTENTACION","1295471","2018-11-01"
"Wake Up in the Sky","Gucci Mane","1295405","2018-11-01"
"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers","1288087","2018-11-01"
"Love Someone","Lukas Graham","1252367","2018-11-01"
"Rise","Jonas Blue","1176838","2018-11-01"
"No Es Justo","J Balvin","1174730","2018-11-01"
"Lucky You (feat. Joyner Lucas)","Eminem","1169357","2018-11-01"
"Money","Cardi B","1163523","2018-11-01"
"Bohemian Rhapsody - Remastered 2011","Queen","1161032","2018-11-01"
"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1150574","2018-11-01"
"One Kiss (with Dua Lipa)","Calvin Harris","1140925","2018-11-01"
"God's Plan","Drake","1137442","2018-11-01"
"Noticed","Lil Mosey","1130182","2018-11-01"
"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby","1127047","2018-11-01"
"changes","XXXTENTACION","1126406","2018-11-01"
"Body (feat. Brando)","Loud Luxury","1124096","2018-11-01"
"Solo (feat. Demi Lovato)","Clean Bandit","1112910","2018-11-01"
"Shotgun","George Ezra","1084779","2018-11-01"
"Amigos Con Derechos","Reik","1079238","2018-11-01"
"lovely (with Khalid)","Billie Eilish","1057129","2018-11-01"
"Mala Mía","Maluma","1051859","2018-11-01"
"2002","Anne-Marie","1043459","2018-11-01"
"Shape of You","Ed Sheeran","1042047","2018-11-01"
"Sin Pijama","Becky G","1029358","2018-11-01"
"Psycho (feat. Ty Dolla $ign)","Post Malone","1025006","2018-11-01"
"Leave Me Alone","Flipp Dinero","1020195","2018-11-01"
"Imposible","Luis Fonsi","1013670","2018-11-01"
"Venom - Music From The Motion Picture","Eminem","1008503","2018-11-01"
"Believer","Imagine Dragons","1007481","2018-11-01"
"God is a woman","Ariana Grande","1005332","2018-11-01"
"no tears left to cry","Ariana Grande","994050","2018-11-01"
"breathin","Ariana Grande","970517","2018-11-01"
"Fuck Love (feat. Trippie Redd)","XXXTENTACION","970020","2018-11-01"
"Ya No Tiene Novio","Sebastian Yatra","968717","2018-11-01"
"There's No Way (feat. Julia Michaels)","Lauv","934816","2018-11-01"
"Thunderclouds","Sia","934522","2018-11-01"
"Culpables","KAROL G","933848","2018-11-01"
"Happy Now","Kygo","933646","2018-11-01"
"Perfect","Ed Sheeran","929842","2018-11-01"
"Jackie Chan","Tiësto","922585","2018-11-01"
"Havana (feat. Young Thug)","Camila Cabello","920777","2018-11-01"
"IDGAF","Dua Lipa","897922","2018-11-01"
"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo","871752","2018-11-01"
"Ibiza","Ozuna","869069","2018-11-01"
"Thunder","Imagine Dragons","867236","2018-11-01"
"Thriller","Michael Jackson","864496","2018-11-01"
"I Fall Apart","Post Malone","851612","2018-11-01"
"Waste It On Me (feat. BTS)","Steve Aoki","851529","2018-11-01"
"New Rules","Dua Lipa","848430","2018-11-01"
"Yes Indeed","Lil Baby","843694","2018-11-01"
"1999","Charli XCX","839938","2018-11-01"
"Say My Name","David Guetta","839443","2018-11-01"
"STOOPID","6ix9ine","838416","2018-11-01"
"The Middle","Zedd","838036","2018-11-01"
"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez","834426","2018-11-01"
"FRIENDS","Marshmello","833322","2018-11-01"
"Happy Now","Zedd","830392","2018-11-01"
"Asesina","Brytiago","812407","2018-11-01"
"Trip","Ella Mai","810874","2018-11-01"
"Toda - Remix","Alex Rose","786338","2018-11-01"
"No Brainer","DJ Khaled","784502","2018-11-01"
"Celoso","Lele Pons","782322","2018-11-01"
"I Like Me Better","Lauv","770204","2018-11-01"
"Diamond Heart","Alan Walker","767393","2018-11-01"
"SLOW DANCING IN THE DARK","Joji","766787","2018-11-01"
"Everybody Dies In Their Nightmares","XXXTENTACION","765742","2018-11-01"
"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","761657","2018-11-01"
"Saturday Nights","Khalid","758658","2018-11-01"
"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne","757157","2018-11-01"
"All Girls Are The Same","Juice WRLD","756974","2018-11-01"
"Clandestino","Shakira","756584","2018-11-01"
"STARGAZING","Travis Scott","756438","2018-11-01"
"New Patek","Lil Uzi Vert","755372","2018-11-01"
"Too Good At Goodbyes","Sam Smith","754309","2018-11-01"
"Closer","The Chainsmokers","753944","2018-11-01"
"Killshot","Eminem","752109","2018-11-01"
"Topanga","Trippie Redd","751923","2018-11-01"
"Love Lies (with Normani)","Khalid","748658","2018-11-01"
"XO Tour Llif3","Lil Uzi Vert","746070","2018-11-01"
"No Me Acuerdo","Thalía","741973","2018-11-01"
"I'm a Mess","Bebe Rexha","737154","2018-11-01"
"Say You Won't Let Go","James Arthur","737095","2018-11-01"
"Nice For What","Drake","731399","2018-11-01"
"Lean Wit Me","Juice WRLD","731115","2018-11-01"
"Another One Bites The Dust - Remastered 2011","Queen","724830","2018-11-01"
"Look Alive (feat. Drake)","BlocBoy JB","724506","2018-11-01"
"Born To Be Yours","Kygo","722982","2018-11-01"
"Congratulations","Post Malone","719994","2018-11-01"
"Consequences - orchestra","Camila Cabello","717658","2018-11-01"
"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","711615","2018-11-01"
"PPP","Kevin Roldan","710521","2018-11-01"
"Ocean (feat. Khalid)","Martin Garrix","702869","2018-11-01"
"REEL IT IN","Aminé","697705","2018-11-01"
"Look At Me!","XXXTENTACION","692882","2018-11-01"
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","YG","685253","2018-11-01"
"Atrasadinha - Ao Vivo","Felipe Araújo","684304","2018-11-01"
"What Lovers Do (feat. SZA)","Maroon 5","683268","2018-11-01"
"Don't Stop Me Now - Remastered","Queen","682470","2018-11-01"
"Highway to Hell","AC/DC","681839","2018-11-01"
"Nevermind","Dennis Lloyd","669504","2018-11-01"
"Hipócrita","Anuel AA","665671","2018-11-01"
"Lost In Japan - Remix","Shawn Mendes","662468","2018-11-01"
"Está Rico","Marc Anthony","654859","2018-11-01"
"Checklist (with Calvin Harris) (feat. WizKid)","Normani","653950","2018-11-01"
"Happier","Ed Sheeran","649551","2018-11-01"
"Thinking out Loud","Ed Sheeran","646100","2018-11-01"
"YOSEMITE","Travis Scott","643992","2018-11-01"
"HUMBLE.","Kendrick Lamar","643212","2018-11-01"
"WORKIN ME","Quavo","641191","2018-11-01"
"X - Remix","Nicky Jam","640882","2018-11-01"
"I'm Yours","Jason Mraz","637705","2018-11-01"
"Young Dumb & Broke","Khalid","634594","2018-11-01"
"These Days","Rudimental","633714","2018-11-01"
"Mine","Bazzi","631633","2018-11-01"
"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta","630155","2018-11-01"
"Under Pressure - Remastered","Queen","627966","2018-11-01"
"goosebumps","Travis Scott","627930","2018-11-01"
"idontwannabeyouanymore","Billie Eilish","626753","2018-11-01"
"Photograph","Ed Sheeran","626129","2018-11-01"
"I'll Never Love Again - Film Version - Radio Edit","Lady Gaga","625722","2018-11-01"
"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam","624411","2018-11-01"
"Wonderwall - Remastered","Oasis","620970","2018-11-01"
"Ric Flair Drip (& Metro Boomin)","Offset","618579","2018-11-01"
"In My Blood","Shawn Mendes","615950","2018-11-01"
"the remedy for a broken heart (why am I so in love)","XXXTENTACION","612193","2018-11-01"
"Africa","TOTO","609967","2018-11-01"
"Ghostbusters","Ray Parker, Jr.","608251","2018-11-01"
"Something Just Like This","The Chainsmokers","607754","2018-11-01"
"Silence","Marshmello","605782","2018-11-01"
"High On Life (feat. Bonn)","Martin Garrix","600714","2018-11-01"
"REMEDY","Alesso","600222","2018-11-01"
"Head Above Water","Avril Lavigne","598902","2018-11-01"
"Starboy","The Weeknd","595729","2018-11-01"
"Polaroid","Jonas Blue","594070","2018-11-01"
"Last Memory","Takeoff","591216","2018-11-01"
"Darkside","Alan Walker","583539","2018-11-01"
"Uproar","Lil Wayne","579935","2018-11-01"
"SWISH","Tyga","578231","2018-11-01"
"Wolves","Selena Gomez","577714","2018-11-01"
"Flames","David Guetta","572312","2018-11-01"
"Hope","XXXTENTACION","570716","2018-11-01"
"OTW","Khalid","569623","2018-11-01"
"Mr. Brightside","The Killers","569565","2018-11-01"
"Call Out My Name","The Weeknd","569229","2018-11-01"
"One Dance","Drake","564758","2018-11-01"
"Me Niego (feat. Ozuna & Wisin)","Reik","563269","2018-11-01"
"Hard Work Pays Off","Future","563041","2018-11-01"
"La player (Bandolera)","Zion & Lennox","562643","2018-11-01"
"Plug Walk","Rich The Kid","562398","2018-11-01"
"Let You Down","NF","561387","2018-11-01"
"The Ringer","Eminem","555004","2018-11-01"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","5846038","2018-11-02"
"MIA (feat. Drake)","Bad Bunny","4188268","2018-11-02"
"Happier","Marshmello","3615401","2018-11-02"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3473312","2018-11-02"
"Shallow","Lady Gaga","3332750","2018-11-02"
"Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","3255407","2018-11-02"
"ZEZE (feat. Travis Scott & Offset)","Kodak Black","3132285","2018-11-02"
"Without Me","Halsey","3077635","2018-11-02"
"SICKO MODE","Travis Scott","2843181","2018-11-02"
"Better","Khalid","2510076","2018-11-02"
"Mo Bamba","Sheck Wes","2508729","2018-11-02"
"Promises (with Sam Smith)","Calvin Harris","2275124","2018-11-02"
"In My Mind","Dynoro","2274225","2018-11-02"
"Eastside (with Halsey & Khalid)","benny blanco","2265522","2018-11-02"
"Girls Like You (feat. Cardi B)","Maroon 5","2236252","2018-11-02"
"when the party's over","Billie Eilish","2228714","2018-11-02"
"Lucid Dreams","Juice WRLD","2138797","2018-11-02"
"Be Alright","Dean Lewis","2060014","2018-11-02"
"I Love It (& Lil Pump)","Kanye West","2043901","2018-11-02"
"Sweet but Psycho","Ava Max","2024923","2018-11-02"
"Kiss and Make Up","Dua Lipa","1990648","2018-11-02"
"SAD!","XXXTENTACION","1974193","2018-11-02"
"Falling Down - Bonus Track","Lil Peep","1966203","2018-11-02"
"Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1927369","2018-11-02"
"Better Now","Post Malone","1913092","2018-11-02"
"Woman Like Me (feat. Nicki Minaj)","Little Mix","1901736","2018-11-02"
"In My Feelings","Drake","1820866","2018-11-02"
"Moonlight","XXXTENTACION","1813286","2018-11-02"
"Vaina Loca","Ozuna","1783384","2018-11-02"
"Let You Love Me","Rita Ora","1772547","2018-11-02"
"BEBE","6ix9ine","1689477","2018-11-02"
"I Like It","Cardi B","1649836","2018-11-02"
"10 Freaky Girls (with 21 Savage)","Metro Boomin","1633721","2018-11-02"
"Taste (feat. Offset)","Tyga","1626864","2018-11-02"
"Bohemian Rhapsody - Remastered 2011","Queen","1607923","2018-11-02"
"Overdue (with Travis Scott)","Metro Boomin","1567061","2018-11-02"
"Natural","Imagine Dragons","1534490","2018-11-02"
"Youngblood","5 Seconds of Summer","1530876","2018-11-02"
"Don't Come Out The House (with 21 Savage)","Metro Boomin","1514872","2018-11-02"
"Always Remember Us This Way","Lady Gaga","1489314","2018-11-02"
"Ruin My Life","Zara Larsson","1488737","2018-11-02"
"Te Boté - Remix","Nio Garcia","1483674","2018-11-02"
"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","1470785","2018-11-02"
"High Hopes","Panic! At The Disco","1466194","2018-11-02"
"rockstar (feat. 21 Savage)","Post Malone","1449641","2018-11-02"
"No Stylist","French Montana","1442238","2018-11-02"
"Space Cadet (feat. Gunna)","Metro Boomin","1418913","2018-11-02"
"Electricity (with Dua Lipa)","Silk City","1416291","2018-11-02"
"Suncity (feat. Empress Of)","Khalid","1377530","2018-11-02"
"Wake Up in the Sky","Gucci Mane","1372341","2018-11-02"
"Cuando Te Besé","Becky G","1356701","2018-11-02"
"Nonstop","Drake","1350782","2018-11-02"
"Quiere Beber","Anuel AA","1338296","2018-11-02"
"Jocelyn Flores","XXXTENTACION","1321890","2018-11-02"
"I Found You (with Calvin Harris)","benny blanco","1310342","2018-11-02"
"Beautiful (feat. Camila Cabello)","Bazzi","1298070","2018-11-02"
"Dreamcatcher (feat. Swae Lee & Travis Scott)","Metro Boomin","1296331","2018-11-02"
"Fine China","Future","1290333","2018-11-02"
"Money","Cardi B","1267548","2018-11-02"
"Body (feat. Brando)","Loud Luxury","1259169","2018-11-02"
"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers","1244944","2018-11-02"
"No More (feat. Travis Scott, Kodak Black & 21 Savage)","Metro Boomin","1243016","2018-11-02"
"Rise","Jonas Blue","1235885","2018-11-02"
"Love Someone","Lukas Graham","1222053","2018-11-02"
"Machine","Imagine Dragons","1209999","2018-11-02"
"God's Plan","Drake","1195506","2018-11-02"
"Lucky You (feat. Joyner Lucas)","Eminem","1194712","2018-11-02"
"No Es Justo","J Balvin","1185032","2018-11-02"
"Close To Me (with Diplo) (feat. Swae Lee)","Ellie Goulding","1171772","2018-11-02"
"Solo (feat. Demi Lovato)","Clean Bandit","1167116","2018-11-02"
"Shotgun","George Ezra","1166761","2018-11-02"
"changes","XXXTENTACION","1159190","2018-11-02"
"One Kiss (with Dua Lipa)","Calvin Harris","1153705","2018-11-02"
"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby","1139039","2018-11-02"
"10AM/Save The World (feat. Gucci Mane)","Metro Boomin","1123015","2018-11-02"
"Shape of You","Ed Sheeran","1104671","2018-11-02"
"2002","Anne-Marie","1093245","2018-11-02"
"lovely (with Khalid)","Billie Eilish","1091979","2018-11-02"
"Up To Something (feat. Travis Scott & Young Thug)","Metro Boomin","1088305","2018-11-02"
"Amigos Con Derechos","Reik","1087164","2018-11-02"
"Last Memory","Takeoff","1076104","2018-11-02"
"Noticed","Lil Mosey","1074656","2018-11-02"
"Mala Mía","Maluma","1072401","2018-11-02"
"Psycho (feat. Ty Dolla $ign)","Post Malone","1067088","2018-11-02"
"no tears left to cry","Ariana Grande","1063348","2018-11-02"
"God is a woman","Ariana Grande","1057820","2018-11-02"
"Sin Pijama","Becky G","1053367","2018-11-02"
"Believer","Imagine Dragons","1052903","2018-11-02"
"Culpables","KAROL G","1043361","2018-11-02"
"Happy Now","Kygo","1040906","2018-11-02"
"Imposible","Luis Fonsi","1035972","2018-11-02"
"breathin","Ariana Grande","1032781","2018-11-02"
"Thunderclouds","Sia","1030687","2018-11-02"
"Venom - Music From The Motion Picture","Eminem","1019627","2018-11-02"
"Another One Bites The Dust - Remastered 2011","Queen","1017638","2018-11-02"
"Leave Me Alone","Flipp Dinero","1017257","2018-11-02"
"Ya No Tiene Novio","Sebastian Yatra","989990","2018-11-02"
"Fuck Love (feat. Trippie Redd)","XXXTENTACION","988382","2018-11-02"
"Waste It On Me (feat. BTS)","Steve Aoki","977400","2018-11-02"
"Jackie Chan","Tiësto","975517","2018-11-02"
"Perfect","Ed Sheeran","954236","2018-11-02"
"Baby (feat. MARINA & Luis Fonsi)","Clean Bandit","951693","2018-11-02"
"Lesbian (feat. Gunna & Young Thug)","Metro Boomin","951459","2018-11-02"
"1999","Charli XCX","943768","2018-11-02"
"Casper","Takeoff","938630","2018-11-02"
"IDGAF","Dua Lipa","932415","2018-11-02"
"Havana (feat. Young Thug)","Camila Cabello","925420","2018-11-02"
"Goodbye (feat. Nicki Minaj & Willy William)","Jason Derulo","916617","2018-11-02"
"Thunder","Imagine Dragons","915682","2018-11-02"
"There's No Way (feat. Julia Michaels)","Lauv","912046","2018-11-02"
"Prima di ogni cosa","Fedez","906995","2018-11-02"
"Ibiza","Ozuna","902920","2018-11-02"
"New Rules","Dua Lipa","886055","2018-11-02"
"FRIENDS","Marshmello","881764","2018-11-02"
"Only You (feat. WizKid, Offset & J Balvin)","Metro Boomin","881091","2018-11-02"
"I Fall Apart","Post Malone","875841","2018-11-02"
"Dreamer","Martin Garrix","875026","2018-11-02"
"Dip (feat. Nicki Minaj)","Tyga","873790","2018-11-02"
"The Middle","Zedd","873261","2018-11-02"
"Somebody To Love - Remastered 2011","Queen","872721","2018-11-02"
"Back To You - From 13 Reasons Why – Season 2 Soundtrack","Selena Gomez","860698","2018-11-02"
"Yes Indeed","Lil Baby","852325","2018-11-02"
"Don't Stop Me Now - Remastered","Queen","849286","2018-11-02"
"Under Pressure - Remastered","Queen","848459","2018-11-02"
"Only 1 (Interlude) (with Travis Scott)","Metro Boomin","843971","2018-11-02"
"Say My Name","David Guetta","843898","2018-11-02"
"Happy Now","Zedd","839396","2018-11-02"
"Borrowed Love (feat. Swae Lee & WizKid)","Metro Boomin","835697","2018-11-02"
"Trip","Ella Mai","829995","2018-11-02"
"No Brainer","DJ Khaled","821517","2018-11-02"
"STOOPID","6ix9ine","819426","2018-11-02"
"Celoso","Lele Pons","816489","2018-11-02"
"We Will Rock You - Remastered","Queen","815613","2018-11-02"
"She Gon Wink","Takeoff","811120","2018-11-02"
"Toda - Remix","Alex Rose","804421","2018-11-02"
"I Like Me Better","Lauv","799997","2018-11-02"
"REEL IT IN","Aminé","798549","2018-11-02"
"Diamond Heart","Alan Walker","787467","2018-11-02"
"Atrasadinha - Ao Vivo","Felipe Araújo","786893","2018-11-02"
"Asesina","Brytiago","783392","2018-11-02"
"Everybody Dies In Their Nightmares","XXXTENTACION","780989","2018-11-02"
"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","780618","2018-11-02"
"Love Lies (with Normani)","Khalid","779444","2018-11-02"
"Killshot","Eminem","779051","2018-11-02"
"I'm a Mess","Bebe Rexha","777766","2018-11-02"
"XO Tour Llif3","Lil Uzi Vert","776087","2018-11-02"
"All Girls Are The Same","Juice WRLD","771676","2018-11-02"
"SLOW DANCING IN THE DARK","Joji","770590","2018-11-02"
"Saturday Nights","Khalid","768880","2018-11-02"
"Clandestino","Shakira","766729","2018-11-02"
"Nice For What","Drake","765691","2018-11-02"
"Born To Be Yours","Kygo","761437","2018-11-02"
"Look Alive (feat. Drake)","BlocBoy JB","760279","2018-11-02"
"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne","756082","2018-11-02"
"Too Good At Goodbyes","Sam Smith","753799","2018-11-02"
"New Patek","Lil Uzi Vert","750016","2018-11-02"
"No Me Acuerdo","Thalía","744333","2018-11-02"
"Congratulations","Post Malone","743582","2018-11-02"
"STARGAZING","Travis Scott","742544","2018-11-02"
"Martian - Intro","Takeoff","740884","2018-11-02"
"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","736292","2018-11-02"
"Lean Wit Me","Juice WRLD","734836","2018-11-02"
"Look At Me!","XXXTENTACION","733032","2018-11-02"
"Say You Won't Let Go","James Arthur","732304","2018-11-02"
"Closer","The Chainsmokers","728151","2018-11-02"
"Party For One","Carly Rae Jepsen","727904","2018-11-02"
"Ocean (feat. Khalid)","Martin Garrix","715835","2018-11-02"
"Consequences - orchestra","Camila Cabello","715322","2018-11-02"
"PPP","Kevin Roldan","714446","2018-11-02"
"Runaway","Lil Peep","712372","2018-11-02"
"Topanga","Trippie Redd","709982","2018-11-02"
"No Complaints (feat. Offset & Drake) (Bonus)","Metro Boomin","709042","2018-11-02"
"Nevermind","Dennis Lloyd","708002","2018-11-02"
"Asesina - Remix","Brytiago","707846","2018-11-02"
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","YG","686227","2018-11-02"
"Lost In Japan - Remix","Shawn Mendes","684633","2018-11-02"
"Mountains","Sia","683528","2018-11-02"
"Whenever (feat. Conor Maynard)","Kris Kross Amsterdam","677191","2018-11-02"
"Está Rico","Marc Anthony","676986","2018-11-02"
"These Days","Rudimental","672579","2018-11-02"
"HUMBLE.","Kendrick Lamar","670926","2018-11-02"
"Young Dumb & Broke","Khalid","669300","2018-11-02"
"What Lovers Do (feat. SZA)","Maroon 5","666743","2018-11-02"
"Allein","Capital Bra","666187","2018-11-02"
"Thinking out Loud","Ed Sheeran","665317","2018-11-02"
"I'm Yours","Jason Mraz","662458","2018-11-02"
"Hipócrita","Anuel AA","661001","2018-11-02"
"Hard Work Pays Off","Future","660124","2018-11-02"
"Happier","Ed Sheeran","660044","2018-11-02"
"Ric Flair Drip (& Metro Boomin)","Offset","659192","2018-11-02"
"Africa","TOTO","658436","2018-11-02"
"Ich liebe es (feat. XATAR & SAMY)","Capital Bra","657250","2018-11-02"
"WORKIN ME","Quavo","654069","2018-11-02"
"Ciumeira - Ao Vivo","Marília Mendonça","652903","2018-11-02"
"Don't Leave Me Alone (feat. Anne-Marie)","David Guetta","652621","2018-11-02"
"I'll Never Love Again - Film Version - Radio Edit","Lady Gaga","646715","2018-11-02"
"Wonderwall - Remastered","Oasis","646209","2018-11-02"
"X - Remix","Nicky Jam","644267","2018-11-02"
"In My Blood","Shawn Mendes","644122","2018-11-02"
"idontwannabeyouanymore","Billie Eilish","642879","2018-11-02"
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake","5783993","2018-11-03"
"MIA (feat. Drake)","Bad Bunny","4063704","2018-11-03"
"Happier","Marshmello","3405197","2018-11-03"
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone","3191383","2018-11-03"
"Shallow","Lady Gaga","3119357","2018-11-03"
"Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION","2945598","2018-11-03"
"ZEZE (feat. Travis Scott & Offset)","Kodak Black","2934846","2018-11-03"
"Without Me","Halsey","2774840","2018-11-03"
"SICKO MODE","Travis Scott","2730113","2018-11-03"
"Mo Bamba","Sheck Wes","2433167","2018-11-03"
"Better","Khalid","2275127","2018-11-03"
"In My Mind","Dynoro","2226999","2018-11-03"
"Girls Like You (feat. Cardi B)","Maroon 5","2136839","2018-11-03"
"Promises (with Sam Smith)","Calvin Harris","2134971","2018-11-03"
"Eastside (with Halsey & Khalid)","benny blanco","2082307","2018-11-03"
"Lucid Dreams","Juice WRLD","2050127","2018-11-03"
"when the party's over","Billie Eilish","2047196","2018-11-03"
"Sweet but Psycho","Ava Max","1986648","2018-11-03"
"I Love It (& Lil Pump)","Kanye West","1937884","2018-11-03"
"SAD!","XXXTENTACION","1891607","2018-11-03"
"Be Alright","Dean Lewis","1882274","2018-11-03"
"Vaina Loca","Ozuna","1827845","2018-11-03"
"In My Feelings","Drake","1813720","2018-11-03"
"Better Now","Post Malone","1813410","2018-11-03"
"Kiss and Make Up","Dua Lipa","1806436","2018-11-03"
"Bohemian Rhapsody - Remastered 2011","Queen","1802115","2018-11-03"
"Falling Down - Bonus Track","Lil Peep","1792570","2018-11-03"
"Drip Too Hard (Lil Baby & Gunna)","Lil Baby","1756008","2018-11-03"
"Moonlight","XXXTENTACION","1739258","2018-11-03"
"Woman Like Me (feat. Nicki Minaj)","Little Mix","1737586","2018-11-03"
"BEBE","6ix9ine","1705912","2018-11-03"
"Let You Love Me","Rita Ora","1635355","2018-11-03"
"I Like It","Cardi B","1603411","2018-11-03"
"Taste (feat. Offset)","Tyga","1539414","2018-11-03"
"Te Boté - Remix","Nio Garcia","1507097","2018-11-03"
"Youngblood","5 Seconds of Summer","1442538","2018-11-03"
"10 Freaky Girls (with 21 Savage)","Metro Boomin","1442215","2018-11-03"
"Ruin My Life","Zara Larsson","1439837","2018-11-03"
"Natural","Imagine Dragons","1430287","2018-11-03"
"Always Remember Us This Way","Lady Gaga","1417531","2018-11-03"
"FEFE (feat. Nicki Minaj & Murda Beatz)","6ix9ine","1400079","2018-11-03"
"High Hopes","Panic! At The Disco","1379037","2018-11-03"
"Cuando Te Besé","Becky G","1370116","2018-11-03"
"rockstar (feat. 21 Savage)","Post Malone","1358184","2018-11-03"
"Wake Up in the Sky","Gucci Mane","1335382","2018-11-03"
"No Stylist","French Montana","1291050","2018-11-03"
"Nonstop","Drake","1282495","2018-11-03"
"Electricity (with Dua Lipa)","Silk City","1279145","2018-11-03"
"Jocelyn Flores","XXXTENTACION","1233829","2018-11-03"
"Money","Cardi B","1231592","2018-11-03"
"Suncity (feat. Empress Of)","Khalid","1222917","2018-11-03"
"Quiere Beber","Anuel AA","1217479","2018-11-03"
"No Es Justo","J Balvin","1212520","2018-11-03"
"Rise","Jonas Blue","1178043","2018-11-03"
"Don't Come Out The House (with 21 Savage)","Metro Boomin","1175147","2018-11-03"
"God's Plan","Drake","1171482","2018-11-03"
"Body (feat. Brando)","Loud Luxury","1156030","2018-11-03"
"Shotgun","George Ezra","1138187","2018-11-03"
"Beautiful (feat. Camila Cabello)","Bazzi","1129406","2018-11-03"
"Another One Bites The Dust - Remastered 2011","Queen","1127096","2018-11-03"
"Love Someone","Lukas Graham","1115519","2018-11-03"
"One Kiss (with Dua Lipa)","Calvin Harris","1114123","2018-11-03"
